#close,open,high,low,volume
26600,24750,27400,24250,33017389
26600,26400,27050,25800,15973488
25700,26500,27050,25700,12589275
25700,25650,26250,25650,10240490
26050,26100,26650,25950,10798436
27450,26300,27750,26250,21078644
29450,28250,29800,27800,23126083
28900,29000,30200,28450,15461504
30700,29300,30850,28800,16470978
30300,30300,31050,30100,12219195
31000,30400,31300,30350,13220569
32900,31500,34150,31400,27211979
33450,33950,34400,33050,14205763
33850,33900,34050,32950,13141028
33000,34000,34100,32950,10205945
33200,32600,33600,32500,8378076
35300,33350,35300,33350,12846374
37600,36100,37650,35850,13366196
38100,38100,38400,36850,13834043
35300,38250,39050,35300,23140068
34600,35900,36000,33600,21566179
35050,34950,35850,34850,12707206
36750,35600,36750,35450,13652495
38000,37600,38600,37450,16155952
37350,37950,38150,36600,9532302
37700,37950,38450,37400,9289258
38100,36900,38100,36400,10008442
37750,38700,38750,37450,8045638
36200,37650,38100,35650,10257599
33000,35200,35700,32850,19665484
34400,33300,34650,33250,18428496
32300,34400,35200,32100,16771296
31150,31300,32600,29600,15530465
33500,31850,33500,30700,15974226
34000,35300,35850,34000,15537952
36750,34900,36750,34300,18925359
37500,37350,37750,36250,14503649
37300,37700,38700,36750,18154320
35500,36850,37250,34900,14930820
36250,36350,36650,34950,14279598
35000,35150,36050,34950,11244571
35450,34300,35650,33700,12325246
35250,35500,36300,35250,12338416
34700,35050,35900,34650,9523601
34900,35400,35500,34550,7423868
34400,34850,35150,33750,8404537
33000,34100,34400,32800,10805711
33000,32450,33100,32000,9133012
28950,33000,33100,28950,30750375
30350,29500,30750,29300,15694423
31200,30700,31500,30600,11828324
31000,30600,31400,30600,7060460
30300,30800,30950,30100,7633217
30950,30350,31150,30350,9849932
32200,31150,32500,31100,10433443
32900,32150,32900,31650,8507219
32700,32750,33100,32200,4892289
33250,33000,33600,32950,6471233
32050,33750,33850,31850,7713450
30500,31700,31900,29850,12898998
31000,30350,31150,29950,8609534
29150,30100,30250,28850,13968020
29450,28500,29450,28350,8627940
29100,29400,29750,29000,8551943
29400,28800,30050,28800,10007237
29050,29700,29850,28750,8109698
28350,28950,29150,27950,8784830
28350,28700,28850,28050,7609587
27700,28300,28600,26850,12307477
28600,27550,28850,27550,7943736
28700,28650,29300,28400,5194601
28400,28800,29500,28300,6547257
27350,27600,27950,27000,8765386
27200,27700,27800,26450,7147856
26550,26350,27150,26200,7564695
27450,26600,27550,26600,7095042
27650,27050,27850,26850,5474390
27650,27300,27800,26950,4554153
28300,28200,28800,28100,6601655
28900,28300,29600,28150,8036603
29600,29300,29600,29150,4496960
30850,30100,31100,29900,11517886
30600,31100,31250,30000,7730877
30800,31450,31650,30800,7380624
30900,30900,31150,30350,5856184
30350,30550,30950,30050,5323793
29700,29950,30200,29300,5852860
30400,29500,30500,29450,5377226
31100,30300,31150,30300,5768549
32500,31450,32500,30950,9628229
33000,32750,33150,32300,6812613
32950,32650,33300,32500,6400912
33550,33800,34550,33450,11248553
33550,33900,34200,33550,6055923
34250,34300,34500,34000,7224497
33900,34300,34350,33100,5915064
33250,32800,33500,32800,6627562
33250,33300,33400,32600,5080201
33900,33100,34050,32950,7117880
32950,33600,33750,32650,6174477
31100,32600,32900,30150,13177549
31000,31400,31700,31000,4496568
31200,30800,31200,30100,5370080
31500,32000,32000,31400,4747563
32850,32000,33500,31800,9169933
32000,31750,32300,31250,6035374
32250,31800,32850,31800,4563593
32850,31650,33000,31300,5895158
33500,32400,33500,32050,5394732
32800,33500,33550,32200,5206313
34300,33300,34700,33150,11315562
34600,33000,34850,32800,9386109
34100,34300,34500,33350,5226466
32650,34600,34650,32600,5921693
32900,32000,33500,32000,6855214
33150,32600,33250,31950,5112066
31900,33400,33500,31700,5038621
32400,32400,33050,32400,4966475
32200,32650,33100,32000,3461484
32000,32400,32900,31400,3825151
31250,31800,32300,31050,3390518
31750,31950,32300,31300,4473018
31500,32150,32200,31200,2457601
30600,30600,30950,30300,4594225
30100,30100,30700,29900,4330415
30050,30600,30650,29200,4039837
29950,29700,30050,29350,2484328
28900,29300,29400,28750,4780389
29050,28750,29200,28450,5382382
28850,29400,29550,28750,3790955
29700,30150,30350,29700,5537337
29100,29450,29450,28750,4836852
28250,28500,28700,27900,5644553
27350,28350,28450,26800,7006583
26200,27100,27450,26150,19015537
27100,26900,27400,26750,10475595
29600,28250,29600,28150,44078345
29500,29600,30200,29000,10346157
29750,28900,30050,28750,5544439
29950,30500,30500,29750,5275816
30750,31100,31350,30400,8561922
31000,31300,31550,30750,5694107
30600,31300,31450,30300,5128314
30450,29900,31050,29900,4391382
30500,30400,30700,29950,4934692
30350,30800,30850,30250,3541582
30950,30200,31150,30150,3920218
31750,30600,32000,30300,7134221
32100,31750,32450,31450,5122998
31900,31750,32300,31600,4188448
30900,31250,31500,30550,5398288
30600,30500,31050,30350,4944210
30500,30900,31000,30400,3424861
31300,31200,31550,30850,7326404
32100,31000,32100,30950,4640404
31650,31700,31800,31300,3582142
32000,32450,32750,31850,5702684
31800,32200,32400,31750,2398267
31800,31800,32150,31500,3811182
31950,31850,32050,31650,2400341
32500,32400,32950,32200,4885154
32900,32600,33200,32600,9772578
33200,32700,33300,32450,3076284
33100,34000,34050,33000,4139510
33650,33400,33800,33350,2951013
32800,33800,33900,32800,2778270
33200,32800,33200,32550,3642256
33200,32900,33350,32850,2943007
32700,32900,33050,32350,4833179
32550,33100,33450,32500,3812380
32800,32600,32900,32150,2284334
32900,33400,33450,32750,5820730
34400,33500,34650,33350,9859517
34900,34150,35300,33750,8936984
34500,35100,35250,34100,3518985
34500,34350,34750,34300,3534084
34000,34450,34500,33900,3190030
34500,33800,34500,33750,3270831
35650,34850,35950,34850,7700470
36000,36000,36800,35950,7983548
36300,36700,37000,36150,5642090
36300,36700,36700,36200,4064666
36800,36550,37150,36150,5582834
37500,36950,37550,36600,4748788
37850,38000,38100,37550,3752697
37000,37700,37850,36850,4693408
36400,37200,37200,36400,3311073
36300,35800,36300,35700,4643237
37000,36050,37000,36000,3254058
36700,37300,37750,36700,4462638
37200,37150,37600,36800,4476640
38350,38100,38600,37850,7923269
38900,38400,38950,38100,6599588
39100,38850,39350,38500,4998537
40100,39000,40250,39000,7301489
39900,40200,40300,39750,3880846
38500,39450,39550,38050,10850995
38150,39000,39150,37850,6597914
36750,37600,38100,36400,8430714
36950,36550,37500,36550,6695668
36200,37400,37450,36050,6536446
36300,37000,37100,36250,6744334
37000,36600,37450,36600,5362142
37300,37200,37650,36900,3886480
37100,37450,37700,37000,2641626
36500,36800,37450,36100,4915087
34950,36300,36750,34100,9551557
35050,34800,35550,34800,6030713
35200,34700,35350,34350,4928237
35850,35200,35900,34850,4066172
37300,36600,37300,36400,5175251
37300,37700,38150,37150,5476640
37300,37500,37600,36550,4272956
37350,36950,37450,36450,3868978
36200,37100,37450,36200,4723708
36100,36200,36450,35900,6110405
36100,36150,36600,35750,5707334
36000,36400,36800,35800,5780357
35350,35700,35800,34950,7837200
35550,35700,35900,35050,7359368
34350,35700,35800,33900,11439427
33300,33700,33900,33200,8110194
34200,33450,34200,33100,5918013
34050,34300,34450,34050,4500012
34800,33850,34850,33800,5600999
33700,34750,34800,33600,6289428
33650,33500,33900,33050,4718196
34000,34150,34350,33800,4629830
34500,34550,35200,34500,5653025
34700,34700,34950,34100,4721786
34200,34350,34650,34150,3184885
35100,34450,35200,34450,4926680
35400,35600,36050,35350,5355096
36000,36050,36200,35750,4885944
35600,36300,36350,35550,3737627
35850,35600,35900,35450,2590574
35000,35850,35950,34900,3473368
34950,34900,35300,34750,2328910
35750,34950,35800,34950,3459669
35600,35900,35950,35400,2666078
35650,35550,35650,35000,2390727
35400,35500,35600,35000,3022008
34800,34600,35100,34600,2755030
35050,34950,35250,34900,2080426
35300,35600,35850,35300,2399904
36050,35450,36100,35150,3049086
36450,35900,36750,35800,4268006
36550,36950,37500,36550,5162364
36400,36950,36950,35750,3621729
36350,36250,36600,36150,2247778
35000,35800,35850,34900,6501090
35350,35000,35550,34950,3018348
34600,35250,35350,34400,3554225
34850,34500,35100,34400,3018846
35800,34850,35900,34700,5766215
36250,35950,36600,35800,3813327
36450,36500,36800,36050,2817132
35950,36500,36600,35850,2532841
36400,36100,36600,36000,2656915
36150,36600,36750,36150,2119546
36150,36050,36400,35900,2271161
35750,36000,36100,35350,2545108
36250,36000,36400,35800,1992596
